Date,Credit/Debit,Balance,Category
3/4/2024,-3.5,585.78,Eating out
3/4/2024,-12.55,589.28,Eating out
3/4/2024,-5.9,601.83,Eating out
3/4/2024,-16.83,607.73,Eating out
3/4/2024,-3,624.56,Eating out
3/4/2024,-10.32,627.56,Eating out
3/4/2024,-33.93,637.88,Eating out
3/4/2024,-26.21,671.81,Eating out
3/4/2024,-67.96,698.02,Eating out
3/4/2024,-8.36,765.98,eating out Fighting
3/4/2024,25,774.34,eating out
3/4/2024,-15.04,749.34,eating out
1/4/2024,-20.58,764.38,Eating out
30/3/2024,-1,784.96,Eating out
30/3/2024,-3.2,785.96,Eating out
29/3/2024,-15.9,789.16,Eating out
28/3/2024,-8,805.06,Food
28/3/2024,-0.36,813.06,Eating out
28/3/2024,-11.68,813.42,Eating out
27/3/2024,671.5,825.1,Eating out
27/3/2024,-5,153.6,Food
27/3/2024,-295,158.6,Eating out
27/3/2024,400,453.6,Eating out
27/3/2024,-27,53.6,Eating out
27/3/2024,-5,80.6,Eating out
27/3/2024,-18.95,85.6,Eating out
27/3/2024,-19.18,104.55,Eating out
26/3/2024,-26,123.73,Eating out
26/3/2024,-10.73,149.73,Eating out
26/3/2024,-6.64,160.46,Eating out
26/3/2024,-5.4,167.1,Eating out
26/3/2024,-17.5,172.5,Eating out
26/3/2024,-6.64,190,Eating out
26/3/2024,-5,196.64,Eating out
26/3/2024,-30,201.64,Eating out
23/3/2024,-3.5,231.64,Eating out
22/3/2024,-16.77,235.14,Eating out
22/3/2024,-5.1,251.91,Eating out
21/3/2024,80,257.01,Eating out
